Vessel Name: 12062020_InCu_KaKr_KK1-77_P0_14
Metric: GFP Integrated Intensity Per Image (GCU x µm²/Image)
Cell Type: 
Passage: 0
Notes: 
Analysis: KaKr-A549-H2B-GFP/-RFP_DEFv10

Date Time	Elapsed	MSR1	MT1H	MT1HL1	MT1M	MT2A	MX1	MX2	MYCL	MYD88	NCOA7	NEXN	NKX3-1	NMI	NT5C3A	NUPR1	OAS1	OAS2	OAS3	OASL	OGFR	P2RY14	PALM2-AKAP2	PAQR8	PARP10	PARP11	PARP12	PARP14	PARP9	PCDH17	PDCD1LG2	PDZD2	PGAP1	PHF11	PID1	PIWIL4	PLEKHA4	PLSCR1	PLXDC2	PMAIP1	PNPT1	POLD1	POLI	PPM1K	PSMB8	PSMB9	PTAFR	RAI14	RARRES3	RASA2	RASGEF1B	RASGRP3	RGL1	RGS1	RHBDD2	RIN2	RNF213	RSAD2	RTCB	RTP4	RUFY4	S100A4	SAMD9	SAMD9L	SAMHD1	SDS	SECTM1	SERPINA1	SERPINB13	SERPINB3	SERPINB4	SERPING1	SIGLEC1	SLAMF7	SLC11A1	SLC15A3	SLC16A10	SLC1A5	SLC25A28	SLFN12L	SLFN5	SOCS1	SP100	SP110	SREK1IP1	C1 (Mx2)	C2 (STAT1)	C3 (MAVS)	C4 (BST2)	C5 (EIF2AK2)	C6 (RSAD2)	C7 (NTC1)	C8 (NTC2)	C9 (NTC3)	C10 (NTC4)	C11 (NTC5)
13.06.2020 16:12:00	30	1,006204E+07	8503330	9570669	8413447	8382374	1,036674E+07	7974653	7693414	9591367	8748787	8566895	9336123	9867842	9509581	9532970	9292652	1,04551E+07	8695410	1,011684E+07	1,11423E+07	1,029579E+07	9750769	9283425	1,0789E+07	9116125	9270515	9656670	1,066605E+07	9210594	1,000135E+07	8568721	8796351	7842984	8177015	8409063	1,020064E+07	9502004	9209200	8249036	8395113	8257467	6456280	752,1968	9592248	0	0	520,7779	659,6633	1,049905E+07	1,014928E+07	9898134	1,026307E+07	1,034528E+07	9812309	9720352	1,014993E+07	9864998	1,085153E+07	1,065122E+07	1,004139E+07	1,00875E+07	1,013055E+07	1,04849E+07	9912243	8927840	9309091	50717,05	4756,87	0	0	544,8059	115,5391	1,035014E+07	1,067501E+07	9940307	9705705	8675117	1,030008E+07	1,014758E+07	9132313	8567730	8930223	9761389	9689628	9942637	8849278	9052391	1,002562E+07	1,019261E+07	9427172	9690977	9535354	8942916	9657531	9450095
13.06.2020 19:12:00	33	1,085286E+07	9247775	1,037255E+07	9130124	9055515	1,11525E+07	8687239	8368506	1,035081E+07	9441977	9289021	1,007958E+07	1,071091E+07	1,030489E+07	1,029938E+07	1,010214E+07	1,129893E+07	9424778	1,09736E+07	1,208205E+07	1,122057E+07	1,060714E+07	1,012784E+07	1,164013E+07	9871249	1,009894E+07	1,045524E+07	1,162213E+07	9987850	1,085119E+07	9270655	9602489	8604097	8900730	9169180	1,101713E+07	1,023579E+07	1,000047E+07	9016572	9162390	9034656	7074089	756,1163	1,041115E+07	0	95,26009	456,3623	539,012	1,134986E+07	1,104526E+07	1,079063E+07	1,110057E+07	1,121992E+07	1,06689E+07	1,054753E+07	1,100978E+07	1,065511E+07	1,172573E+07	1,14927E+07	1,080796E+07	1,091673E+07	1,103498E+07	1,136059E+07	1,072496E+07	9717815	1,014081E+07	54284,28	5558,997	0	0	517,7104	137,6926	1,122997E+07	1,151949E+07	1,077051E+07	1,051207E+07	9434158	1,113586E+07	1,097939E+07	9905585	9308003	9662591	1,063789E+07	1,051215E+07	1,078661E+07	9620943	9780865	1,084275E+07	1,104597E+07	1,015995E+07	1,053169E+07	1,031456E+07	9695792	1,050094E+07	1,026452E+07
13.06.2020 22:12:00	36	1,159968E+07	1,006203E+07	1,113301E+07	9869495	9810846	1,195592E+07	9373853	9074982	1,112109E+07	1,018195E+07	1,011035E+07	1,087519E+07	1,156943E+07	1,11957E+07	1,118879E+07	1,094247E+07	1,221168E+07	1,029264E+07	1,188175E+07	1,314167E+07	1,212875E+07	1,147409E+07	1,1006E+07	1,256002E+07	1,065262E+07	1,096685E+07	1,13503E+07	1,253128E+07	1,081359E+07	1,169228E+07	1,008161E+07	1,040588E+07	9517031	9749025	9995074	1,196751E+07	1,107472E+07	1,088211E+07	9838616	9973962	9827291	7762586	870,1217	1,135183E+07	0	0	0	373,2014	1,226506E+07	1,19935E+07	1,168117E+07	1,198209E+07	1,222145E+07	1,156647E+07	1,139976E+07	1,18922E+07	1,152183E+07	1,263337E+07	1,242979E+07	1,166926E+07	1,178104E+07	1,19394E+07	1,237822E+07	1,162947E+07	1,054004E+07	1,096115E+07	56115,7	5868,124	0	0	656,4255	299,5836	1,213501E+07	1,247891E+07	1,174552E+07	1,141519E+07	1,029883E+07	1,199975E+07	1,185207E+07	1,079501E+07	1,012234E+07	1,053028E+07	1,15023E+07	1,137418E+07	1,165691E+07	1,041606E+07	1,059412E+07	1,166287E+07	1,192686E+07	1,098913E+07	1,142913E+07	1,114514E+07	1,054897E+07	1,133624E+07	1,108576E+07
14.06.2020 01:12:00	39	1,246383E+07	1,084051E+07	1,188872E+07	1,067629E+07	1,059183E+07	1,283609E+07	1,013689E+07	9825596	1,197407E+07	1,102436E+07	1,092E+07	1,16906E+07	1,244672E+07	1,208827E+07	1,206818E+07	1,180843E+07	1,318271E+07	1,110316E+07	1,277862E+07	1,417341E+07	1,304134E+07	1,248818E+07	1,191326E+07	1,346725E+07	1,152336E+07	1,186399E+07	1,229665E+07	1,356498E+07	1,172898E+07	1,262307E+07	1,088933E+07	1,132795E+07	1,022418E+07	1,064948E+07	1,084683E+07	1,290017E+07	1,187982E+07	1,174998E+07	1,070586E+07	1,086348E+07	1,074051E+07	8505829	857,5113	1,227054E+07	0	0	0	277,6005	1,313947E+07	1,295961E+07	1,262544E+07	1,289496E+07	1,317818E+07	1,244525E+07	1,237981E+07	1,286356E+07	1,251088E+07	1,364393E+07	1,337831E+07	1,248251E+07	1,262468E+07	1,287042E+07	1,331958E+07	1,263357E+07	1,144924E+07	1,186346E+07	62658,82	7328,211	126,7862	0	382,5741	116,9024	1,302567E+07	1,341625E+07	1,270971E+07	1,233049E+07	1,118171E+07	1,282758E+07	1,27231E+07	1,165936E+07	1,099803E+07	1,141977E+07	1,248082E+07	1,225448E+07	1,25407E+07	1,127915E+07	1,145173E+07	1,257525E+07	1,281798E+07	1,182072E+07	1,230523E+07	1,202996E+07	1,139681E+07	1,221071E+07	1,205104E+07
14.06.2020 04:12:00	42	1,332538E+07	1,167504E+07	1,272012E+07	1,151628E+07	1,141131E+07	1,372306E+07	1,092334E+07	1,063218E+07	1,280726E+07	1,181995E+07	1,184772E+07	1,255065E+07	1,331927E+07	1,297776E+07	1,299347E+07	1,275593E+07	1,418519E+07	1,195565E+07	1,381185E+07	1,533012E+07	1,400231E+07	1,346817E+07	1,286106E+07	1,437444E+07	1,237434E+07	1,283253E+07	1,325974E+07	1,45943E+07	1,260546E+07	1,361688E+07	1,171002E+07	1,225582E+07	1,113937E+07	1,155913E+07	1,179306E+07	1,378857E+07	1,277733E+07	1,272734E+07	1,155997E+07	1,177358E+07	1,166967E+07	9311908	1056,211	1,328158E+07	220,5126	0	0	270,9545	1,404224E+07	1,396582E+07	1,355699E+07	1,386008E+07	1,424123E+07	1,342349E+07	1,338283E+07	1,388583E+07	1,348072E+07	1,464747E+07	1,442549E+07	1,33523E+07	1,353886E+07	1,387432E+07	1,436906E+07	1,351385E+07	1,234741E+07	1,278139E+07	69795,83	8185,381	155,245	0	453,2949	137,5222	1,404269E+07	1,444743E+07	1,371517E+07	1,326328E+07	1,213996E+07	1,384818E+07	1,373934E+07	1,264209E+07	1,191437E+07	1,234185E+07	1,349379E+07	1,31475E+07	1,343185E+07	1,219707E+07	1,231227E+07	1,348784E+07	1,377589E+07	1,280834E+07	1,324134E+07	1,29446E+07	1,230392E+07	1,320957E+07	1,29307E+07
14.06.2020 07:12:00	45	1,419256E+07	1,259051E+07	1,37248E+07	1,23919E+07	1,226826E+07	1,451185E+07	1,170133E+07	1,142726E+07	1,363702E+07	1,267355E+07	1,277172E+07	1,338583E+07	1,431532E+07	1,40548E+07	1,391874E+07	1,37669E+07	1,515826E+07	1,290223E+07	1,477845E+07	1,644732E+07	1,503982E+07	1,45132E+07	1,384266E+07	1,53243E+07	1,334401E+07	1,385377E+07	1,431477E+07	1,569042E+07	1,369153E+07	1,466958E+07	1,267341E+07	1,320726E+07	1,210479E+07	1,252257E+07	1,274501E+07	1,475931E+07	1,370385E+07	1,370978E+07	1,258447E+07	1,275861E+07	1,265702E+07	1,018581E+07	1149,767	1,435644E+07	240,962	0	0	514,9839	1,512273E+07	1,496211E+07	1,470112E+07	1,48087E+07	1,526754E+07	1,441296E+07	1,4324E+07	1,491945E+07	1,440468E+07	1,570526E+07	1,540494E+07	1,424995E+07	1,45352E+07	1,492859E+07	1,544018E+07	1,452001E+07	1,338328E+07	1,374781E+07	74948,05	8957,857	166,1513	0	0	119,629	1,502636E+07	1,542596E+07	1,470486E+07	1,429438E+07	1,31446E+07	1,483831E+07	1,464142E+07	1,36113E+07	1,291473E+07	1,33008E+07	1,446256E+07	1,41608E+07	1,438385E+07	1,310263E+07	1,325149E+07	1,440456E+07	1,478241E+07	1,362578E+07	1,420869E+07	1,391018E+07	1,334093E+07	1,417381E+07	1,389752E+07
14.06.2020 10:12:00	48	1,507794E+07	1,343177E+07	1,443392E+07	1,321782E+07	1,307331E+07	1,543613E+07	1,253161E+07	1,225173E+07	1,44528E+07	1,352878E+07	1,362253E+07	1,427978E+07	1,528827E+07	1,493472E+07	1,493009E+07	1,465372E+07	1,610971E+07	1,37465E+07	1,563747E+07	1,755146E+07	1,600882E+07	1,539555E+07	1,480918E+07	1,619818E+07	1,424238E+07	1,4885E+07	1,528357E+07	1,668512E+07	1,455494E+07	1,559106E+07	1,355223E+07	1,42714E+07	1,305609E+07	1,348707E+07	1,367467E+07	1,573354E+07	1,456868E+07	1,467086E+07	1,357821E+07	1,377912E+07	1,360736E+07	1,114831E+07	1237,188	1,531691E+07	248,9714	103,9511	0	271,1249	1,598126E+07	1,605047E+07	1,572279E+07	1,585399E+07	1,629495E+07	1,536635E+07	1,531849E+07	1,589129E+07	1,539456E+07	1,671673E+07	1,634537E+07	1,495594E+07	1,543449E+07	1,589648E+07	1,65017E+07	1,555662E+07	1,43827E+07	1,466304E+07	83473,91	9900,233	199,8928	0	0	117,2432	1,590987E+07	1,649312E+07	1,576539E+07	1,519403E+07	1,408433E+07	1,57158E+07	1,564798E+07	1,453121E+07	1,385293E+07	1,418622E+07	1,546929E+07	1,498346E+07	1,520241E+07	1,404245E+07	1,411716E+07	1,531294E+07	1,57566E+07	1,448469E+07	1,506613E+07	1,479434E+07	1,422415E+07	1,507304E+07	1,485268E+07
14.06.2020 13:12:00	51	1,595693E+07	1,431797E+07	1,529433E+07	1,41418E+07	1,392141E+07	1,628998E+07	1,32598E+07	1,303437E+07	1,537555E+07	1,435962E+07	1,451584E+07	1,504538E+07	1,620561E+07	1,593465E+07	1,582193E+07	1,568172E+07	1,716442E+07	1,467738E+07	1,673648E+07	1,867881E+07	1,702769E+07	1,644463E+07	1,574733E+07	1,719572E+07	1,517756E+07	1,59254E+07	1,629666E+07	1,77536E+07	1,555876E+07	1,658503E+07	1,439569E+07	1,524072E+07	1,406588E+07	1,452296E+07	1,466922E+07	1,680109E+07	1,558737E+07	1,562498E+07	1,455546E+07	1,483872E+07	1,466623E+07	1,214573E+07	1342,332	1,645335E+07	239,2579	95,94174	160,8686	686,0772	1,692253E+07	1,707446E+07	1,679932E+07	1,687626E+07	1,741956E+07	1,638043E+07	1,633348E+07	1,695131E+07	1,63281E+07	1,7709E+07	1,749396E+07	1,591865E+07	1,6253E+07	1,699757E+07	1,763051E+07	1,659834E+07	1,530756E+07	1,566146E+07	91405,05	10524,96	238,9171	0	0	118,0953	1,68425E+07	1,75218E+07	1,679468E+07	1,629511E+07	1,513439E+07	1,663468E+07	1,654363E+07	1,560421E+07	1,480568E+07	1,522831E+07	1,653648E+07	1,592168E+07	1,612075E+07	1,502193E+07	1,506262E+07	1,625533E+07	1,676184E+07	1,541777E+07	1,613055E+07	1,572024E+07	1,518709E+07	1,604552E+07	1,582914E+07
14.06.2020 16:12:00	54	1,684556E+07	1,525522E+07	1,628355E+07	1,500789E+07	1,477056E+07	1,710221E+07	1,413701E+07	1,395198E+07	1,62985E+07	1,529383E+07	1,547135E+07	1,592587E+07	1,715328E+07	1,688088E+07	1,681577E+07	1,664134E+07	1,814882E+07	1,56779E+07	1,773947E+07	1,982509E+07	1,801613E+07	1,749736E+07	1,670443E+07	1,819975E+07	1,612918E+07	1,693837E+07	1,745028E+07	1,8856E+07	1,651704E+07	1,765294E+07	1,531851E+07	1,62073E+07	1,505743E+07	1,551531E+07	1,579267E+07	1,779179E+07	1,646689E+07	1,667358E+07	1,562317E+07	1,593641E+07	1,575526E+07	1,32281E+07	1448,499	1,738246E+07	237,8946	0	0	235,8497	1,799061E+07	1,821799E+07	1,799105E+07	1,792858E+07	1,854955E+07	1,740742E+07	1,732848E+07	1,803791E+07	1,741271E+07	1,882885E+07	1,848773E+07	1,679031E+07	1,71742E+07	1,814507E+07	1,864536E+07	1,761694E+07	1,635068E+07	1,667051E+07	99368,89	12628,52	291,5743	0	0	113,835	1,794715E+07	1,855876E+07	1,793085E+07	1,741819E+07	1,617549E+07	1,75708E+07	1,759444E+07	1,664604E+07	1,579925E+07	1,631423E+07	1,765825E+07	1,695582E+07	1,711228E+07	1,589212E+07	1,596724E+07	1,727475E+07	1,77127E+07	1,642416E+07	1,713757E+07	1,664583E+07	1,622468E+07	1,713616E+07	1,678124E+07
14.06.2020 19:12:00	57	1,770144E+07	1,617861E+07	1,712688E+07	1,594271E+07	1,57094E+07	1,799301E+07	1,501777E+07	1,476646E+07	1,708912E+07	1,6138E+07	1,634886E+07	1,670471E+07	1,826414E+07	1,786964E+07	1,781826E+07	1,764302E+07	1,921858E+07	1,658216E+07	1,870848E+07	2,084251E+07	1,906446E+07	1,849045E+07	1,77966E+07	1,899324E+07	1,711957E+07	1,798368E+07	1,847455E+07	1,989776E+07	1,768336E+07	1,863051E+07	1,625535E+07	1,72166E+07	1,618993E+07	1,65753E+07	1,668598E+07	1,870824E+07	1,735921E+07	1,776373E+07	1,668018E+07	1,697795E+07	1,684019E+07	1,431876E+07	1566,424	1,861448E+07	238,2354	0	161,7206	446,1376	1,88603E+07	1,92658E+07	1,904092E+07	1,88351E+07	1,961331E+07	1,834942E+07	1,833247E+07	1,915624E+07	1,835561E+07	1,991207E+07	1,947243E+07	1,76312E+07	1,8207E+07	1,917984E+07	1,980475E+07	1,868195E+07	1,740415E+07	1,761038E+07	110032,2	13339,82	306,7409	0	127,1271	115,3687	1,886574E+07	1,95656E+07	1,905596E+07	1,841842E+07	1,725529E+07	1,865113E+07	1,865528E+07	1,768331E+07	1,685301E+07	1,73253E+07	1,874733E+07	1,789422E+07	1,799221E+07	1,693878E+07	1,696071E+07	1,818837E+07	1,87962E+07	1,728978E+07	1,811931E+07	1,75902E+07	1,714554E+07	1,807011E+07	1,784122E+07
